"","gdp"
"1",89.9883994210779
"2",110.432728997714
"3",130.095508709225
"4",147.369064899662
"5",161.660123332693
"6",174.64410928401
"7",186.245914496412
"8",196.192491666941
"9",205.339135071631
"10",214.816887606304
"11",224.864043220721
"12",235.213654005097
"13",245.803633631903
"14",256.849920401193
"15",268.189461598167
"16",280.231179223807
"17",293.111435927592
"18",306.797585119697
"19",321.523834369113
"20",336.983523114246
"21",353.118331908525
"22",369.867540701349
"23",387.168620559947
"24",404.957861988075
"25",423.171013346613
"26",441.743906131918
"27",460.613048686309
"28",479.716174406091
"29",498.992734580967
"30",518.384329582909
"31",537.835075192166
"32",557.291903399668
"33",576.704799077165
"34",596.026975493454
"35",615.214992822587
"36",634.228824589597
"37",653.031877485124
"38",671.590970205875
"39",689.876276993714
"40",707.861241398796
"41",725.522465522738
"42",742.839579642076
"43",759.795096700322
"44",776.374255713648
"45",792.564857680325
"46",808.357097133224
"47",823.743392039332
"48",838.718214338793
"49",853.277923034135
"50",867.420601391218
"51",881.145899498977
"52",894.45488315513
"53",907.349889799199
"54",919.834392000617
"55",931.912868826601
"56",943.590685259261
"57",954.873979701731
"58",965.769559506263
"59",965.769559506263
"60",965.769559506263
"61",965.769559506263
"62",965.769559506263
"63",965.769559506263
"64",965.769559506263
"65",965.769559506263
"66",965.769559506263
"67",965.769559506263
"68",965.769559506263
"69",965.769559506263
"70",965.769559506263
"71",965.769559506263
"72",965.769559506263
"73",965.769559506263
"74",965.769559506263
"75",965.769559506263
"76",965.769559506263
"77",965.769559506263
"78",965.769559506263
"79",965.769559506263
"80",965.769559506263
"81",965.769559506263
"82",965.769559506263
"83",965.769559506263
"84",965.769559506263
"85",965.769559506263
"86",965.769559506263
"87",965.769559506263
"88",965.769559506263
"89",965.769559506263
"90",965.769559506263
"91",965.769559506263
"92",965.769559506263
"93",965.769559506263
"94",965.769559506263
"95",965.769559506263
"96",965.769559506263
"97",965.769559506263
"98",965.769559506263
"99",965.769559506263
"100",965.769559506263
