"","year","emissions"
"1","2015",39152.7262983861
"2","2020",44844.6916420944
"3","2025",44844.6916420944
"4","2030",53046.2094777045
"5","2035",53046.2094777045
"6","2040",59111.7701909214
"7","2045",59111.7701909214
"8","2050",63754.723343238
"9","2055",63754.723343238
"10","2060",68187.4101748829
"11","2065",68187.4101748829
"12","2070",72401.3490758777
"13","2075",72401.3490758777
"14","2080",76582.4229212683
"15","2085",76582.4229212683
"16","2090",80950.5284212681
"17","2095",80950.5284212681
"18","2100",85832.6921212681
"19","2105",85832.6921212681
"20","2110",79748.9298065169
"21","2115",79748.9298065169
"22","2120",73665.1674917657
"23","2125",73665.1674917657
"24","2130",67581.4051770145
"25","2135",67581.4051770145
"26","2140",61497.6428622633
"27","2145",61497.6428622633
"28","2150",55413.8805475121
"29","2155",55413.8805475121
"30","2160",49872.4924927609
"31","2165",49872.4924927609
"32","2170",44331.1044380097
"33","2175",44331.1044380097
"34","2180",38789.7163832585
"35","2185",38789.7163832585
"36","2190",33248.3283285073
"37","2195",33248.3283285073
"38","2200",27706.940273756
"39","2205",27706.940273756
"40","2210",22165.5522190048
"41","2215",22165.5522190048
"42","2220",16624.1641642536
"43","2225",16624.1641642536
"44","2230",11082.7761095024
"45","2235",11082.7761095024
"46","2240",5541.38805475121
"47","2245",5541.38805475121
"48","2250",0
"49","2255",0
"50","2260",0
"51","2265",0
"52","2270",0
"53","2275",0
"54","2280",0
"55","2285",0
"56","2290",0
"57","2295",0
"58","2300",0
"59","2305",0
"60","2310",0
"61","2315",0
"62","2320",0
"63","2325",0
"64","2330",0
"65","2335",0
"66","2340",0
"67","2345",0
"68","2350",0
"69","2355",0
"70","2360",0
"71","2365",0
"72","2370",0
"73","2375",0
"74","2380",0
"75","2385",0
"76","2390",0
"77","2395",0
"78","2400",0
"79","2405",0
"80","2410",0
"81","2415",0
"82","2420",0
"83","2425",0
"84","2430",0
"85","2435",0
"86","2440",0
"87","2445",0
"88","2450",0
"89","2455",0
"90","2460",0
"91","2465",0
"92","2470",0
"93","2475",0
"94","2480",0
"95","2485",0
"96","2490",0
"97","2495",0
"98","2500",0
"99","2505",0
"100","2510",0
