"","year","emissions"
"1","2015",39152.7262983861
"2","2020",44808.0382241732
"3","2025",44808.0382241732
"4","2030",52847.3593168547
"5","2035",52847.3593168547
"6","2040",58497.9698277256
"7","2045",58497.9698277256
"8","2050",62904.0586222295
"9","2055",62904.0586222295
"10","2060",66568.3676152515
"11","2065",66568.3676152515
"12","2070",70041.9785674313
"13","2075",70041.9785674313
"14","2080",73405.2259212681
"15","2085",73405.2259212681
"16","2090",77799.0494212682
"17","2095",77799.0494212682
"18","2100",82725.8331212681
"19","2105",82725.8331212681
"20","2110",76856.6280998502
"21","2115",76856.6280998502
"22","2120",70987.4230784324
"23","2125",70987.4230784324
"24","2130",65118.2180570145
"25","2135",65118.2180570145
"26","2140",59249.0130355966
"27","2145",59249.0130355966
"28","2150",53379.8080141788
"29","2155",53379.8080141788
"30","2160",48041.8272127609
"31","2165",48041.8272127609
"32","2170",42703.846411343
"33","2175",42703.846411343
"34","2180",37365.8656099251
"35","2185",37365.8656099251
"36","2190",32027.8848085073
"37","2195",32027.8848085073
"38","2200",26689.9040070894
"39","2205",26689.9040070894
"40","2210",21351.9232056715
"41","2215",21351.9232056715
"42","2220",16013.9424042536
"43","2225",16013.9424042536
"44","2230",10675.9616028358
"45","2235",10675.9616028358
"46","2240",5337.98080141789
"47","2245",5337.98080141789
"48","2250",0
"49","2255",0
"50","2260",0
"51","2265",0
"52","2270",0
"53","2275",0
"54","2280",0
"55","2285",0
"56","2290",0
"57","2295",0
"58","2300",0
"59","2305",0
"60","2310",0
"61","2315",0
"62","2320",0
"63","2325",0
"64","2330",0
"65","2335",0
"66","2340",0
"67","2345",0
"68","2350",0
"69","2355",0
"70","2360",0
"71","2365",0
"72","2370",0
"73","2375",0
"74","2380",0
"75","2385",0
"76","2390",0
"77","2395",0
"78","2400",0
"79","2405",0
"80","2410",0
"81","2415",0
"82","2420",0
"83","2425",0
"84","2430",0
"85","2435",0
"86","2440",0
"87","2445",0
"88","2450",0
"89","2455",0
"90","2460",0
"91","2465",0
"92","2470",0
"93","2475",0
"94","2480",0
"95","2485",0
"96","2490",0
"97","2495",0
"98","2500",0
"99","2505",0
"100","2510",0
