"","year","emissions"
"1","2015",39152.7262983861
"2","2020",43712.6285758957
"3","2025",43712.6285758957
"4","2030",55300.0166278013
"5","2035",55300.0166278013
"6","2040",68774.6275087146
"7","2045",68774.6275087146
"8","2050",50319.094996155
"9","2055",50319.094996155
"10","2060",16582.6682404365
"11","2065",16582.6682404365
"12","2070",-5768.06195748693
"13","2075",-5768.06195748693
"14","2080",-14855.3327805787
"15","2085",-14855.3327805787
"16","2090",-18556.2449805787
"17","2095",-18556.2449805787
"18","2100",-20311.3819805787
"19","2105",-20311.3819805787
"20","2110",-20151.2019805787
"21","2115",-20151.2019805787
"22","2120",-19991.0219805787
"23","2125",-19991.0219805787
"24","2130",-19830.8419805787
"25","2135",-19830.8419805787
"26","2140",-19670.6619805787
"27","2145",-19670.6619805787
"28","2150",-13006.9879870525
"29","2155",-13006.9879870525
"30","2160",-6503.49399352624
"31","2165",-6503.49399352624
"32","2170",0
"33","2175",0
"34","2180",0
"35","2185",0
"36","2190",0
"37","2195",0
"38","2200",0
"39","2205",0
"40","2210",0
"41","2215",0
"42","2220",0
"43","2225",0
"44","2230",0
"45","2235",0
"46","2240",0
"47","2245",0
"48","2250",0
"49","2255",0
"50","2260",0
"51","2265",0
"52","2270",0
"53","2275",0
"54","2280",0
"55","2285",0
"56","2290",0
"57","2295",0
"58","2300",0
"59","2305",0
"60","2310",0
"61","2315",0
"62","2320",0
"63","2325",0
"64","2330",0
"65","2335",0
"66","2340",0
"67","2345",0
"68","2350",0
"69","2355",0
"70","2360",0
"71","2365",0
"72","2370",0
"73","2375",0
"74","2380",0
"75","2385",0
"76","2390",0
"77","2395",0
"78","2400",0
"79","2405",0
"80","2410",0
"81","2415",0
"82","2420",0
"83","2425",0
"84","2430",0
"85","2435",0
"86","2440",0
"87","2445",0
"88","2450",0
"89","2455",0
"90","2460",0
"91","2465",0
"92","2470",0
"93","2475",0
"94","2480",0
"95","2485",0
"96","2490",0
"97","2495",0
"98","2500",0
"99","2505",0
"100","2510",0
